trip_id,subscriber_type,bike_id,bike_type,start_time,start_station_id,start_station_name,end_station_id,end_station_name,duration_minutes
18997299,Single Trip,920,classic,2018-11-17 20:49:22.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,4
18988953,Local365- 1/2 off Anniversary Special,93,classic,2018-11-16 09:35:46.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,3
18942827,Local365- 1/2 off Anniversary Special,885,classic,2018-11-05 09:35:11.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,3
19323578,U.T. Student Membership,224,classic,2019-02-27 22:10:16.000000 UTC,2568,East 11th St. at Victory Grill,4051,10th & Red River,3
18756746,,1795,classic,2018-10-06 20:22:41.000000 UTC,2568,East 11th St. at Victory Grill,4051,10th & Red River,3
18800763,3-Day Explorer,520,classic,2018-10-13 14:18:19.000000 UTC,2568,East 11th St. at Victory Grill,4051,10th & Red River,8
18756744,Local365+Guest Pass,12802,classic,2018-10-06 20:22:26.000000 UTC,2568,East 11th St. at Victory Grill,4051,10th & Red River,4
18756747,Local365+Guest Pass,503,classic,2018-10-06 20:22:48.000000 UTC,2568,East 11th St. at Victory Grill,4051,10th & Red River,3
18800762,3-Day Explorer,938,classic,2018-10-13 14:18:18.000000 UTC,2568,East 11th St. at Victory Grill,4051,10th & Red River,8
19797191,Local365,246G,classic,2019-05-19 18:39:08.000000 UTC,3292,East 4th & Chicon,4051,10th & Red River,11
18930303,3-Day Explorer,1423,classic,2018-11-03 08:04:23.000000 UTC,3292,East 4th & Chicon,4051,10th & Red River,17
19367462,Local30,2299,classic,2019-03-12 12:31:51.000000 UTC,2544,East 6th & Pedernales St.,4051,10th & Red River,24
18791981,24 Hour Walk Up Pass,1641,classic,2018-10-12 12:36:21.000000 UTC,2544,East 6th & Pedernales St.,4051,10th & Red River,689
18884484,U.T. Student Membership,12811,classic,2018-10-26 17:34:18.000000 UTC,2544,East 6th & Pedernales St.,4051,10th & Red River,14
19301983,Local365,2143,classic,2019-02-21 16:54:37.000000 UTC,2822,East 6th at Robert Martinez,4051,10th & Red River,922
19451425,U.T. Student Membership,548,classic,2019-03-27 20:07:55.000000 UTC,2547,Guadalupe & 21st,4051,10th & Red River,13
18746961,3-Day Weekender,1744,classic,2018-10-05 17:22:14.000000 UTC,3685,Henderson & 9th,4051,10th & Red River,21
18881024,3-Day Explorer,110G,classic,2018-10-26 09:59:56.000000 UTC,4062,Lakeshore & Pleasant Valley,4051,10th & Red River,44
19414814,Explorer,4,classic,2019-03-21 16:35:05.000000 UTC,4061,Lakeshore @ Austin Hostel,4051,10th & Red River,60
18888135,U.T. Student Membership,288,classic,2018-10-27 11:58:53.000000 UTC,4061,Lakeshore @ Austin Hostel,4051,10th & Red River,20
19186303,Local365,15059E,electric,2019-01-14 13:09:43.000000 UTC,2549,Long Center @ South 1st & Riverside,4051,10th & Red River,9
19279373,Local365,1795,classic,2019-02-14 16:50:46.000000 UTC,2549,Long Center @ South 1st & Riverside,4051,10th & Red River,15
19261874,Local365,861,classic,2019-02-07 16:48:46.000000 UTC,2549,Long Center @ South 1st & Riverside,4051,10th & Red River,15
19456259,Local365,198BB,electric,2019-03-28 17:09:22.000000 UTC,2549,Long Center @ South 1st & Riverside,4051,10th & Red River,13
19538223,Local365,447,classic,2019-04-11 16:56:41.000000 UTC,2549,Long Center @ South 1st & Riverside,4051,10th & Red River,14
19582342,Local365,728,classic,2019-04-18 16:57:21.000000 UTC,2549,Long Center @ South 1st & Riverside,4051,10th & Red River,13
19728647,Local365,895,classic,2019-05-09 16:53:06.000000 UTC,2549,Long Center @ South 1st & Riverside,4051,10th & Red River,13
19762379,Local365+Guest Pass,3,classic,2019-05-14 19:12:27.000000 UTC,2549,Long Center @ South 1st & Riverside,4051,10th & Red River,14
19776127,Local365,164,classic,2019-05-16 17:02:53.000000 UTC,2549,Long Center @ South 1st & Riverside,4051,10th & Red River,13
19199246,3-Day Explorer,1441,classic,2019-01-18 17:33:24.000000 UTC,3660,Medina & East 6th,4051,10th & Red River,10
19234603,24 Hour Walk Up Pass,233G,classic,2019-01-30 20:31:35.000000 UTC,3660,Medina & East 6th,4051,10th & Red River,8
